pais,anio,grupo_edad,sexo,causa,causa_grupo,q_media_posterior,q_mediana_posterior,q_li_95,q_ls_95
Belice,2015,10-14,Hombre,X,Enfermedades del sistema respiratorio,1.0872589551722022e-5,1.5041696249815793e-6,2.5040570475640683e-12,7.853357507473505e-5
Belice,2015,10-14,Hombre,XI,Enfermedades del sistema digestivo,1.8946909038435778e-5,6.564154255316968e-6,3.160798259078645e-9,1.0426846672228317e-4
Belice,2015,10-14,Hombre,XII,Enfermedades de la piel y del tejido subcutáneo,1.5234918216844149e-6,2.8583797763778534e-15,8.391954790751084e-58,1.6944088726464563e-5
Belice,2015,10-14,Hombre,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.1206080998200013e-5,4.43843807360003e-6,3.728641364460483e-9,6.153557608915984e-5
Belice,2015,10-14,Hombre,XIV,Enfermedades del sistema genitourinario,5.8143908743611694e-5,4.228682628051023e-5,2.333511026437271e-6,2.0208438105983592e-4
Belice,2015,10-14,Hombre,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",5.1992632354340826e-5,3.822904868729986e-5,1.9045527663310206e-6,1.808375848303008e-4
Belice,2015,10-14,Hombre,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",4.142700966047342e-6,3.6575668902564634e-9,1.5499623490854487e-25,4.4854081204591216e-5
Belice,2015,10-14,Hombre,XX,Causas externas de mortalidad,3.3916627377238964e-4,3.2260872694522195e-4,1.3645148711912905e-4,6.32430284545538e-4
Belice,2015,10-14,Mujer,I,Enfermedades infecciosas y parasitarias,8.918950526157484e-5,7.298410720682491e-5,9.31331644096021e-6,2.5604064521036807e-4
Belice,2015,10-14,Mujer,II,Tumores,1.6348679105747107e-5,4.4660990300064675e-6,2.5824837916447674e-10,1.0207075864756213e-4
Belice,2015,10-14,Mujer,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,6.379676674051179e-6,1.5752293560775308e-7,1.9628157599982672e-17,5.6835469599481006e-5
Belice,2015,10-14,Mujer,IV,"Enfermedades endocrinas, nutricionales y metabólicas",6.364991208915607e-5,4.7552166353983074e-5,3.0595309499593995e-6,2.1264418272018363e-4
Belice,2015,10-14,Mujer,IX,Enfermedades del sistema circulatorio,9.361730126017168e-6,6.689514738713613e-7,5.991551425981654e-14,7.350600621201667e-5
Belice,2015,10-14,Mujer,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1.6363609375086086e-5,4.459776828191805e-6,3.551605552451322e-10,9.880557972830829e-5
Belice,2015,10-14,Mujer,X,Enfermedades del sistema respiratorio,1.136258233189206e-5,1.569249053786914e-6,1.6155473629432008e-12,8.046166129435543e-5
Belice,2015,10-14,Mujer,XI,Enfermedades del sistema digestivo,1.9654848904882138e-5,6.612449945263272e-6,2.4210012877029285e-9,1.122145952404443e-4
Belice,2015,10-14,Mujer,XII,Enfermedades de la piel y del tejido subcutáneo,1.588117408243707e-6,1.964506889678756e-15,1.4758278860670765e-59,1.7948460069008875e-5
