pais,anio,grupo_edad,sexo,causa,causa_grupo,q_c
Belice,2015,15-19,Hombre,II,Tumores,6.822262624354121e-5
Belice,2015,15-19,Hombre,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,1.0867362420832008e-4
Belice,2015,15-19,Hombre,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1.2382934279877957e-5
Belice,2015,15-19,Hombre,IX,Enfermedades del sistema circulatorio,9.572287438682034e-6
Belice,2015,15-19,Hombre,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1.6165258139412317e-5
Belice,2015,15-19,Hombre,X,Enfermedades del sistema respiratorio,1.1685709662796184e-4
Belice,2015,15-19,Hombre,XI,Enfermedades del sistema digestivo,1.2177088235201415e-4
Belice,2015,15-19,Hombre,XII,Enfermedades de la piel y del tejido subcutáneo,1.6971370436224195e-6
Belice,2015,15-19,Hombre,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.1450509827957468e-5
Belice,2015,15-19,Hombre,XIV,Enfermedades del sistema genitourinario,8.615661304168006e-6
Belice,2015,15-19,Hombre,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",5.6691433094575925e-6
Belice,2015,15-19,Hombre,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",4.181804623698518e-6
Belice,2015,15-19,Hombre,XX,Causas externas de mortalidad,0.0011058055598175526
Belice,2015,15-19,Mujer,I,Enfermedades infecciosas y parasitarias,1.4223962173853927e-4
Belice,2015,15-19,Mujer,II,Tumores,7.011039376493004e-5
Belice,2015,15-19,Mujer,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,6.9185531045948935e-6
Belice,2015,15-19,Mujer,IV,"Enfermedades endocrinas, nutricionales y metabólicas",6.509816542410855e-5
Belice,2015,15-19,Mujer,IX,Enfermedades del sistema circulatorio,9.462998104383125e-6
Belice,2015,15-19,Mujer,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",6.860164590790907e-5
Belice,2015,15-19,Mujer,X,Enfermedades del sistema respiratorio,1.1561139849438338e-5
Belice,2015,15-19,Mujer,XI,Enfermedades del sistema digestivo,7.218245845366627e-5
Belice,2015,15-19,Mujer,XII,Enfermedades de la piel y del tejido subcutáneo,1.4691300424155795e-6
Belice,2015,15-19,Mujer,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,3.84358033665149e-5
Belice,2015,15-19,Mujer,XIV,Enfermedades del sistema genitourinario,9.07102818234285e-6
Belice,2015,15-19,Mujer,XV,"Embarazo, parto y puerperio",1.5393835460026217e-5
Belice,2015,15-19,Mujer,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",5.512003353217996e-6
Belice,2015,15-19,Mujer,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",4.010230265296582e-6
Belice,2015,15-19,Mujer,XX,Causas externas de mortalidad,2.0388437757485258e-4
Belice,2015,20-24,Hombre,I,Enfermedades infecciosas y parasitarias,4.214188751450681e-5
Belice,2015,20-24,Hombre,II,Tumores,7.174104479559192e-5
Belice,2015,20-24,Hombre,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,7.412891176536519e-6
Belice,2015,20-24,Hombre,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1.2477723989237423e-5
