causa_etiqueta,edad_orden,exceso_abs,edad_grupo
1078 · Sistema digestivo,6,29,5-9
1078 · Sistema digestivo,7,22,10-14
1078 · Sistema digestivo,8,47,15-19
1078 · Sistema digestivo,9,57,20-24
1078 · Sistema digestivo,10,67,25-29
1078 · Sistema digestivo,11,109,30-34
1078 · Sistema digestivo,12,102,35-39
1078 · Sistema digestivo,13,144,40-44
1078 · Sistema digestivo,14,125,45-49
1078 · Sistema digestivo,15,138,50-54
1078 · Sistema digestivo,16,155,55-59
1078 · Sistema digestivo,17,159,60-64
1078 · Sistema digestivo,18,165,65-69
1078 · Sistema digestivo,19,190,70-74
1078 · Sistema digestivo,20,131,75-79
1078 · Sistema digestivo,21,159,80-84
1078 · Sistema digestivo,22,175,85-89
1078 · Sistema digestivo,23,93,90-94
1078 · Sistema digestivo,24,63,95+
1084 · Sistema genitourinario,1,43,0
1084 · Sistema genitourinario,2,15,1
1084 · Sistema genitourinario,3,11,2
1084 · Sistema genitourinario,4,12,3
1084 · Sistema genitourinario,5,12,4
1084 · Sistema genitourinario,6,31,5-9
1084 · Sistema genitourinario,7,29,10-14
1084 · Sistema genitourinario,8,43,15-19
1084 · Sistema genitourinario,9,36,20-24
1084 · Sistema genitourinario,10,54,25-29
1084 · Sistema genitourinario,11,76,30-34
1084 · Sistema genitourinario,12,62,35-39
1084 · Sistema genitourinario,13,99,40-44
1084 · Sistema genitourinario,14,101,45-49
1084 · Sistema genitourinario,15,144,50-54
1084 · Sistema genitourinario,16,151,55-59
1084 · Sistema genitourinario,17,196,60-64
1084 · Sistema genitourinario,18,159,65-69
1084 · Sistema genitourinario,19,175,70-74
1084 · Sistema genitourinario,20,116,75-79
1084 · Sistema genitourinario,21,159,80-84
1084 · Sistema genitourinario,22,170,85-89
1084 · Sistema genitourinario,23,81,90-94
1084 · Sistema genitourinario,24,64,95+
1094 · Síntomas y hallazgos no clasificados,1,209,0
1094 · Síntomas y hallazgos no clasificados,2,79,1
1094 · Síntomas y hallazgos no clasificados,3,29,2
1094 · Síntomas y hallazgos no clasificados,4,26,3
1094 · Síntomas y hallazgos no clasificados,5,26,4
1094 · Síntomas y hallazgos no clasificados,6,37,5-9
1094 · Síntomas y hallazgos no clasificados,7,128,10-14
1094 · Síntomas y hallazgos no clasificados,8,69,15-19
1094 · Síntomas y hallazgos no clasificados,9,110,20-24
1094 · Síntomas y hallazgos no clasificados,10,108,25-29
1094 · Síntomas y hallazgos no clasificados,11,139,30-34
1094 · Síntomas y hallazgos no clasificados,12,82,35-39
1094 · Síntomas y hallazgos no clasificados,13,148,40-44
1094 · Síntomas y hallazgos no clasificados,14,161,45-49
1094 · Síntomas y hallazgos no clasificados,15,129,50-54
1094 · Síntomas y hallazgos no clasificados,16,239,55-59
1094 · Síntomas y hallazgos no clasificados,17,203,60-64
1094 · Síntomas y hallazgos no clasificados,18,327,65-69
1094 · Síntomas y hallazgos no clasificados,19,277,70-74
1094 · Síntomas y hallazgos no clasificados,20,423,75-79
1094 · Síntomas y hallazgos no clasificados,21,393,80-84
1094 · Síntomas y hallazgos no clasificados,22,429,85-89
1094 · Síntomas y hallazgos no clasificados,23,333,90-94
1094 · Síntomas y hallazgos no clasificados,24,180,95+
