anio,sexo,pais,grupo_edad,causa,causa_grupo,muertes,exposicion,mu_c,mu_total,q_c
2015,Hombre,Belice,15-19,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",0,19010,0,0.0015255128879537085,0
2015,Hombre,Belice,15-19,XX,Causas externas de mortalidad,21,19010,0.0011046817464492372,0.0015255128879537085,0.001103839571632572
2015,Hombre,Belice,20-24,I,Enfermedades infecciosas y parasitarias,0,17936,0,0.001784121320249777,0
2015,Hombre,Belice,20-24,II,Tumores,1,17936,5.575379125780553e-5,0.001784121320249777,5.570408505899474e-5
2015,Hombre,Belice,20-24,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,17936,0,0.001784121320249777,0
2015,Hombre,Belice,20-24,IV,"Enfermedades endocrinas, nutricionales y metabólicas",0,17936,0,0.001784121320249777,0
2015,Hombre,Belice,20-24,IX,Enfermedades del sistema circulatorio,0,17936,0,0.001784121320249777,0
2015,Hombre,Belice,20-24,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",0,17936,0,0.001784121320249777,0
2015,Hombre,Belice,20-24,X,Enfermedades del sistema respiratorio,1,17936,5.575379125780553e-5,0.001784121320249777,5.570408505899474e-5
2015,Hombre,Belice,20-24,XI,Enfermedades del sistema digestivo,1,17936,5.575379125780553e-5,0.001784121320249777,5.570408505899474e-5
2015,Hombre,Belice,20-24,XII,Enfermedades de la piel y del tejido subcutáneo,1,17936,5.575379125780553e-5,0.001784121320249777,5.570408505899474e-5
2015,Hombre,Belice,20-24,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,17936,0,0.001784121320249777,0
2015,Hombre,Belice,20-24,XIV,Enfermedades del sistema genitourinario,0,17936,0,0.001784121320249777,0
2015,Hombre,Belice,20-24,XV,"Embarazo, parto y puerperio",0,17936,0,0.001784121320249777,0
2015,Hombre,Belice,20-24,XVI,Afecciones originadas en el periodo perinatal,0,17936,0,0.001784121320249777,0
2015,Hombre,Belice,20-24,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,17936,0,0.001784121320249777,0
2015,Hombre,Belice,20-24,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",0,17936,0,0.001784121320249777,0
2015,Hombre,Belice,20-24,XX,Causas externas de mortalidad,28,17936,0.0015611061552185548,0.001784121320249777,0.0015597143816518527
2015,Hombre,Belice,25-29,I,Enfermedades infecciosas y parasitarias,3,15954,1.88040616773223e-4,0.0033220508963269398,1.8772862210648185e-4
