pais,causa,causa_grupo,alpha,beta
Nicaragua,IV,"Enfermedades endocrinas, nutricionales y metabólicas",0.2741537380120345,57.03870218433654
Nicaragua,IX,Enfermedades del sistema circulatorio,0.1843281658661053,3.3300154027354245
Nicaragua,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",0.5366326173345246,1033.1900042281604
Nicaragua,X,Enfermedades del sistema respiratorio,0.1968249871872201,11.892932385142554
Nicaragua,XI,Enfermedades del sistema digestivo,0.3256663996902092,101.00802223811958
Nicaragua,XII,Enfermedades de la piel y del tejido subcutáneo,0.1908910384138688,650.7284769927821
Nicaragua,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0.532796431563293,8365.196922666495
Nicaragua,XIV,Enfermedades del sistema genitourinario,0.2704034206086549,56.85214474733451
Nicaragua,XV,"Embarazo, parto y puerperio",1.4557792864598391,66600.1895896267
Nicaragua,XVI,Afecciones originadas en el periodo perinatal,26.27814664517306,17555.39358132048
Nicaragua,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0.3024593854435354,4885.352367644685
Nicaragua,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",0.1586036929212552,21.226614661228705
Nicaragua,XX,Causas externas de mortalidad,0.45282250102534577,239.3978141598199
Panama,I,Enfermedades infecciosas y parasitarias,0.5900857393367094,588.0269700993441
Panama,II,Tumores,0.32273103202840897,49.16330428690288
Panama,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0.35173217471246826,1543.3216172125778
Panama,IV,"Enfermedades endocrinas, nutricionales y metabólicas",0.2338889305969322,53.898704519335105
Panama,IX,Enfermedades del sistema circulatorio,0.18238114467337951,5.930524995880344
Panama,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",0.276227007971519,113.98751119718776
Panama,X,Enfermedades del sistema respiratorio,0.2025411937008375,19.726291467468407
Panama,XI,Enfermedades del sistema digestivo,0.2866400155139761,138.95517432015956
Panama,XII,Enfermedades de la piel y del tejido subcutáneo,0.14411904214240473,256.49009273390305
Panama,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0.2102263293720929,757.1198866671059
Panama,XIV,Enfermedades del sistema genitourinario,0.2121030063065608,66.51460352457521
Panama,XV,"Embarazo, parto y puerperio",1.411898342872912,55602.15228949411
Panama,XVI,Afecciones originadas en el periodo perinatal,45.27173429590767,39495.95514811301
Panama,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0.1318814831794554,2512.169078520769
Panama,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",0.26186143543562723,81.97595080964369
Panama,XX,Causas externas de mortalidad,0.8185574116206725,1138.3133879181944
