causa_etiqueta,edad_orden,muertes_total,edad_grupo,total_edad,peso_causa_edad
1072 · Sistema respiratorio,1,7463,0,48630,0.1534649393378573
1072 · Sistema respiratorio,2,2097,1,6811,0.3078843048010571
1072 · Sistema respiratorio,3,705,2,2632,0.26785714285714285
1072 · Sistema respiratorio,4,344,3,1447,0.2377332411886662
1072 · Sistema respiratorio,5,231,4,1142,0.202276707530648
1072 · Sistema respiratorio,6,593,5-9,3993,0.1485098923115452
1072 · Sistema respiratorio,7,496,10-14,4687,0.10582462129293792
1072 · Sistema respiratorio,8,711,15-19,13011,0.054646068711090616
1072 · Sistema respiratorio,9,792,20-24,17440,0.04541284403669725
1072 · Sistema respiratorio,10,814,25-29,17406,0.04676548316672412
1072 · Sistema respiratorio,11,931,30-34,18461,0.05043063756026218
1072 · Sistema respiratorio,12,1084,35-39,21409,0.05063291139240506
1072 · Sistema respiratorio,13,1193,40-44,23213,0.05139361564640503
1072 · Sistema respiratorio,14,1455,45-49,26606,0.05468691272645268
1072 · Sistema respiratorio,15,1940,50-54,32570,0.059564015965612525
1072 · Sistema respiratorio,16,2546,55-59,40928,0.06220680218921032
1072 · Sistema respiratorio,17,3329,60-64,47678,0.06982255967112715
1072 · Sistema respiratorio,18,4354,65-69,53467,0.08143340752239699
1072 · Sistema respiratorio,19,5706,70-74,58114,0.09818632343325188
1072 · Sistema respiratorio,20,7723,75-79,65186,0.11847635995459148
1072 · Sistema respiratorio,21,9559,80-84,69211,0.13811388363121468
1072 · Sistema respiratorio,22,10076,85-89,65718,0.15332176876959128
1072 · Sistema respiratorio,23,7017,90-94,42471,0.16521861976407431
1072 · Sistema respiratorio,24,3625,95+,21851,0.16589629765228137
1078 · Sistema digestivo,1,663,0,48630,0.013633559531153609
1078 · Sistema digestivo,2,218,1,6811,0.03200704742328586
1078 · Sistema digestivo,3,92,2,2632,0.034954407294832825
1078 · Sistema digestivo,4,70,3,1447,0.04837595024187975
1078 · Sistema digestivo,5,48,4,1142,0.04203152364273205
1078 · Sistema digestivo,6,201,5-9,3993,0.05033809166040571
1078 · Sistema digestivo,7,207,10-14,4687,0.04416471090249627
1078 · Sistema digestivo,8,403,15-19,13011,0.03097379140727077
1078 · Sistema digestivo,9,626,20-24,17440,0.035894495412844035
1078 · Sistema digestivo,10,1072,25-29,17406,0.061587958175341836
1078 · Sistema digestivo,11,1738,30-34,18461,0.0941444125453659
1078 · Sistema digestivo,12,2571,35-39,21409,0.12008968190947732
1078 · Sistema digestivo,13,3088,40-44,23213,0.13302890621634428
1078 · Sistema digestivo,14,3466,45-49,26606,0.1302713673607457
1078 · Sistema digestivo,15,4138,50-54,32570,0.12704943199263125
1078 · Sistema digestivo,16,5014,55-59,40928,0.12250781860828773
1078 · Sistema digestivo,17,5128,60-64,47678,0.10755484709929108
1078 · Sistema digestivo,18,4934,65-69,53467,0.09228122019189407
1078 · Sistema digestivo,19,4593,70-74,58114,0.07903431186977321
1078 · Sistema digestivo,20,4433,75-79,65186,0.06800539993250085
1078 · Sistema digestivo,21,3850,80-84,69211,0.055626995708774614
1078 · Sistema digestivo,22,2977,85-89,65718,0.045299613500106514
1078 · Sistema digestivo,23,1608,90-94,42471,0.03786112877021968
1078 · Sistema digestivo,24,656,95+,21851,0.030021509313074915
1082 · Piel y tejido subcutáneo,1,36,0,48630,7.402837754472548e-4
1082 · Piel y tejido subcutáneo,2,12,1,6811,0.0017618558214652768
1082 · Piel y tejido subcutáneo,3,6,2,2632,0.0022796352583586625
1082 · Piel y tejido subcutáneo,4,7,3,1447,0.0048375950241879755
1082 · Piel y tejido subcutáneo,5,1,4,1142,8.756567425569177e-4
1082 · Piel y tejido subcutáneo,6,10,5-9,3993,0.002504382669671926
1082 · Piel y tejido subcutáneo,7,17,10-14,4687,0.0036270535523789203
1082 · Piel y tejido subcutáneo,8,39,15-19,13011,0.0029974636845745907
1082 · Piel y tejido subcutáneo,9,50,20-24,17440,0.0028669724770642203
1082 · Piel y tejido subcutáneo,10,32,25-29,17406,0.0018384465126967712
1082 · Piel y tejido subcutáneo,11,45,30-34,18461,0.002437571095823628
1082 · Piel y tejido subcutáneo,12,56,35-39,21409,0.002615722359755243
1082 · Piel y tejido subcutáneo,13,68,40-44,23213,0.002929393012536079
1082 · Piel y tejido subcutáneo,14,68,45-49,26606,0.0025558144779373074
1082 · Piel y tejido subcutáneo,15,114,50-54,32570,0.003500153515505066
1082 · Piel y tejido subcutáneo,16,128,55-59,40928,0.003127443315089914
1082 · Piel y tejido subcutáneo,17,155,60-64,47678,0.003250975292587776
1082 · Piel y tejido subcutáneo,18,198,65-69,53467,0.003703218807862794
1082 · Piel y tejido subcutáneo,19,214,70-74,58114,0.003682417317685928
1082 · Piel y tejido subcutáneo,20,263,75-79,65186,0.004034608658300862
1082 · Piel y tejido subcutáneo,21,321,80-84,69211,0.004637991070783546
1082 · Piel y tejido subcutáneo,22,345,85-89,65718,0.005249703277640829
1082 · Piel y tejido subcutáneo,23,296,90-94,42471,0.00696946151491606
1082 · Piel y tejido subcutáneo,24,169,95+,21851,0.0077341998077891175
1083 · Sistema osteomuscular,1,20,0,48630,4.1126876413736374e-4
1083 · Sistema osteomuscular,2,7,1,6811,0.0010277492291880781
1083 · Sistema osteomuscular,3,4,2,2632,0.001519756838905775
1083 · Sistema osteomuscular,4,6,3,1447,0.00414651002073255
1083 · Sistema osteomuscular,5,4,4,1142,0.0035026269702276708
1083 · Sistema osteomuscular,6,19,5-9,3993,0.004758327072376659
1083 · Sistema osteomuscular,7,62,10-14,4687,0.01322807766161724
1083 · Sistema osteomuscular,8,103,15-19,13011,0.007916378449004688
1083 · Sistema osteomuscular,9,132,20-24,17440,0.007568807339449542
1083 · Sistema osteomuscular,10,153,25-29,17406,0.008790072388831437
1083 · Sistema osteomuscular,11,131,30-34,18461,0.0070960403011754505
1083 · Sistema osteomuscular,12,163,35-39,21409,0.007613620440001868
1083 · Sistema osteomuscular,13,135,40-44,23213,0.005815706716064274
1083 · Sistema osteomuscular,14,193,45-49,26606,0.007254002856498534
1083 · Sistema osteomuscular,15,211,50-54,32570,0.006478354313785692
1083 · Sistema osteomuscular,16,229,55-59,40928,0.0055951915559030495
1083 · Sistema osteomuscular,17,237,60-64,47678,0.004970846092537439
1083 · Sistema osteomuscular,18,259,65-69,53467,0.00484410945068921
1083 · Sistema osteomuscular,19,258,70-74,58114,0.004439549850294249
1083 · Sistema osteomuscular,20,315,75-79,65186,0.004832325959561869
1083 · Sistema osteomuscular,21,353,80-84,69211,0.005100345320830504
1083 · Sistema osteomuscular,22,332,85-89,65718,0.005051888371526827
1083 · Sistema osteomuscular,23,203,90-94,42471,0.004779732052459325
1083 · Sistema osteomuscular,24,133,95+,21851,0.006086677955242323
1084 · Sistema genitourinario,1,294,0,48630,0.006045650832819247
1084 · Sistema genitourinario,2,76,1,6811,0.01115842020261342
1084 · Sistema genitourinario,3,38,2,2632,0.014437689969604863
1084 · Sistema genitourinario,4,22,3,1447,0.01520387007601935
1084 · Sistema genitourinario,5,30,4,1142,0.02626970227670753
1084 · Sistema genitourinario,6,112,5-9,3993,0.02804908590032557
1084 · Sistema genitourinario,7,190,10-14,4687,0.04053765735011734
1084 · Sistema genitourinario,8,427,15-19,13011,0.03281838444393206
1084 · Sistema genitourinario,9,618,20-24,17440,0.03543577981651376
1084 · Sistema genitourinario,10,657,25-29,17406,0.037745604963805586
1084 · Sistema genitourinario,11,926,30-34,18461,0.05015979632739288
1084 · Sistema genitourinario,12,1275,35-39,21409,0.05955439301228455
1084 · Sistema genitourinario,13,1605,40-44,23213,0.06914229095765304
1084 · Sistema genitourinario,14,2028,45-49,26606,0.07622340825377734
1084 · Sistema genitourinario,15,2514,50-54,32570,0.07718759594719067
1084 · Sistema genitourinario,16,3239,55-59,40928,0.07913897576231431
1084 · Sistema genitourinario,17,3842,60-64,47678,0.0805822391878854
1084 · Sistema genitourinario,18,4019,65-69,53467,0.07516786054949783
1084 · Sistema genitourinario,19,3929,70-74,58114,0.06760849365041126
1084 · Sistema genitourinario,20,4121,75-79,65186,0.0632190961249348
1084 · Sistema genitourinario,21,3756,80-84,69211,0.05426883009926168
1084 · Sistema genitourinario,22,3339,85-89,65718,0.0508079978088195
1084 · Sistema genitourinario,23,1807,90-94,42471,0.04254667891031527
1084 · Sistema genitourinario,24,830,95+,21851,0.037984531600384425
"1087 · Embarazo, parto y puerperio",1,0,0,48630,0
"1087 · Embarazo, parto y puerperio",2,0,1,6811,0
"1087 · Embarazo, parto y puerperio",3,0,2,2632,0
"1087 · Embarazo, parto y puerperio",4,0,3,1447,0
"1087 · Embarazo, parto y puerperio",5,0,4,1142,0
"1087 · Embarazo, parto y puerperio",6,0,5-9,3993,0
"1087 · Embarazo, parto y puerperio",7,11,10-14,4687,0.002346917004480478
"1087 · Embarazo, parto y puerperio",8,244,15-19,13011,0.018753362539389747
"1087 · Embarazo, parto y puerperio",9,346,20-24,17440,0.019839449541284405
"1087 · Embarazo, parto y puerperio",10,336,25-29,17406,0.019303688383316097
"1087 · Embarazo, parto y puerperio",11,327,30-34,18461,0.017713016629651697
"1087 · Embarazo, parto y puerperio",12,288,35-39,21409,0.013452286421598392
"1087 · Embarazo, parto y puerperio",13,146,40-44,23213,0.006289579115150993
"1087 · Embarazo, parto y puerperio",14,17,45-49,26606,6.389536194843268e-4
"1087 · Embarazo, parto y puerperio",15,8,50-54,32570,2.4562480810561867e-4
"1087 · Embarazo, parto y puerperio",16,0,55-59,40928,0
"1087 · Embarazo, parto y puerperio",17,0,60-64,47678,0
"1087 · Embarazo, parto y puerperio",18,0,65-69,53467,0
"1087 · Embarazo, parto y puerperio",19,0,70-74,58114,0
"1087 · Embarazo, parto y puerperio",20,0,75-79,65186,0
"1087 · Embarazo, parto y puerperio",21,0,80-84,69211,0
"1087 · Embarazo, parto y puerperio",22,0,85-89,65718,0
"1087 · Embarazo, parto y puerperio",23,0,90-94,42471,0
"1087 · Embarazo, parto y puerperio",24,0,95+,21851,0
1092 · Condiciones perinatales,1,20893,0,48630,0.42963191445609705
1092 · Condiciones perinatales,2,1,1,6811,1.4682131845543972e-4
1092 · Condiciones perinatales,3,0,2,2632,0
1092 · Condiciones perinatales,4,0,3,1447,0
1092 · Condiciones perinatales,5,0,4,1142,0
1092 · Condiciones perinatales,6,0,5-9,3993,0
1092 · Condiciones perinatales,7,0,10-14,4687,0
1092 · Condiciones perinatales,8,0,15-19,13011,0
1092 · Condiciones perinatales,9,0,20-24,17440,0
1092 · Condiciones perinatales,10,0,25-29,17406,0
1092 · Condiciones perinatales,11,0,30-34,18461,0
1092 · Condiciones perinatales,12,0,35-39,21409,0
1092 · Condiciones perinatales,13,0,40-44,23213,0
1092 · Condiciones perinatales,14,0,45-49,26606,0
1092 · Condiciones perinatales,15,0,50-54,32570,0
1092 · Condiciones perinatales,16,0,55-59,40928,0
1092 · Condiciones perinatales,17,0,60-64,47678,0
1092 · Condiciones perinatales,18,0,65-69,53467,0
1092 · Condiciones perinatales,19,0,70-74,58114,0
1092 · Condiciones perinatales,20,0,75-79,65186,0
1092 · Condiciones perinatales,21,0,80-84,69211,0
1092 · Condiciones perinatales,22,0,85-89,65718,0
1092 · Condiciones perinatales,23,0,90-94,42471,0
1092 · Condiciones perinatales,24,0,95+,21851,0
1093 · Malformaciones congénitas,1,8732,0,48630,0.17955994242237303
1093 · Malformaciones congénitas,2,478,1,6811,0.07018059022170019
1093 · Malformaciones congénitas,3,191,2,2632,0.07256838905775076
1093 · Malformaciones congénitas,4,94,3,1447,0.06496199032480995
1093 · Malformaciones congénitas,5,87,4,1142,0.07618213660245184
1093 · Malformaciones congénitas,6,212,5-9,3993,0.05309291259704483
1093 · Malformaciones congénitas,7,165,10-14,4687,0.03520375506720717
1093 · Malformaciones congénitas,8,205,15-19,13011,0.015755898854815157
1093 · Malformaciones congénitas,9,139,20-24,17440,0.007970183486238533
1093 · Malformaciones congénitas,10,110,25-29,17406,0.006319659887395151
1093 · Malformaciones congénitas,11,76,30-34,18461,0.004116786739613239
1093 · Malformaciones congénitas,12,63,35-39,21409,0.0029426876547246484
1093 · Malformaciones congénitas,13,34,40-44,23213,0.0014646965062680396
1093 · Malformaciones congénitas,14,40,45-49,26606,0.0015034202811395926
1093 · Malformaciones congénitas,15,32,50-54,32570,9.824992324224747e-4
1093 · Malformaciones congénitas,16,36,55-59,40928,8.795934323690383e-4
1093 · Malformaciones congénitas,17,36,60-64,47678,7.550652292461932e-4
1093 · Malformaciones congénitas,18,26,65-69,53467,4.8628125759814467e-4
1093 · Malformaciones congénitas,19,30,70-74,58114,5.162267267784011e-4
1093 · Malformaciones congénitas,20,25,75-79,65186,3.8351793329856104e-4
1093 · Malformaciones congénitas,21,20,80-84,69211,2.8897140627934866e-4
1093 · Malformaciones congénitas,22,27,85-89,65718,4.108463434675431e-4
1093 · Malformaciones congénitas,23,15,90-94,42471,3.531821713639895e-4
1093 · Malformaciones congénitas,24,22,95+,21851,0.0010068189098897077
1094 · Síntomas y hallazgos no clasificados,1,3387,0,48630,0.06964836520666255
1094 · Síntomas y hallazgos no clasificados,2,770,1,6811,0.1130524152106886
1094 · Síntomas y hallazgos no clasificados,3,308,2,2632,0.11702127659574468
1094 · Síntomas y hallazgos no clasificados,4,160,3,1447,0.11057360055286801
1094 · Síntomas y hallazgos no clasificados,5,117,4,1142,0.10245183887915937
1094 · Síntomas y hallazgos no clasificados,6,437,5-9,3993,0.10944152266466316
1094 · Síntomas y hallazgos no clasificados,7,565,10-14,4687,0.12054619159377
1094 · Síntomas y hallazgos no clasificados,8,846,15-19,13011,0.06502190454231035
