causa_etiqueta,edad_orden,muertes_total,edad_grupo,total_edad,peso_causa_edad
1102 · Agresiones,2,19,1,6811,0.002789605050653355
1102 · Agresiones,3,27,2,2632,0.010258358662613981
1102 · Agresiones,4,27,3,1447,0.018659295093296474
1102 · Agresiones,5,11,4,1142,0.009632224168126095
1102 · Agresiones,6,85,5-9,3993,0.02128725269221137
1102 · Agresiones,7,503,10-14,4687,0.10731811393215276
1102 · Agresiones,8,5526,15-19,13011,0.4247175466912612
1102 · Agresiones,9,6929,20-24,17440,0.3973050458715596
1102 · Agresiones,10,5429,25-29,17406,0.3119039411697116
1102 · Agresiones,11,4426,30-34,18461,0.23974865933589729
1102 · Agresiones,12,3866,35-39,21409,0.1805782614788173
1102 · Agresiones,13,2885,40-44,23213,0.12428380648774394
1102 · Agresiones,14,2020,45-49,26606,0.07592272419754942
1102 · Agresiones,15,1410,50-54,32570,0.04329137242861529
1102 · Agresiones,16,1027,55-59,40928,0.02509284597341673
1102 · Agresiones,17,760,60-64,47678,0.015940265950752968
1102 · Agresiones,18,503,65-69,53467,0.009407672021994875
1102 · Agresiones,19,340,70-74,58114,0.005850569570155212
1102 · Agresiones,20,226,75-79,65186,0.003467002117018992
1102 · Agresiones,21,147,80-84,69211,0.0021239398361532127
1102 · Agresiones,22,81,85-89,65718,0.0012325390304026294
1102 · Agresiones,23,39,90-94,42471,9.182736455463728e-4
1102 · Agresiones,24,29,95+,21851,0.0013271703812182509
