anio,sexo,pais,grupo_edad,causa,causa_grupo,muertes,exposicion
2015,Hombre,Belice,25-29,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1,15954
2015,Hombre,Belice,25-29,X,Enfermedades del sistema respiratorio,1,15954
2015,Hombre,Belice,25-29,XI,Enfermedades del sistema digestivo,3,15954
2015,Hombre,Belice,25-29,XII,Enfermedades de la piel y del tejido subcutáneo,0,15954
2015,Hombre,Belice,25-29,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,15954
2015,Hombre,Belice,25-29,XIV,Enfermedades del sistema genitourinario,1,15954
2015,Hombre,Belice,25-29,XV,"Embarazo, parto y puerperio",0,15954
2015,Hombre,Belice,25-29,XVI,Afecciones originadas en el periodo perinatal,0,15954
2015,Hombre,Belice,25-29,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,15954
2015,Hombre,Belice,25-29,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",3,15954
2015,Hombre,Belice,25-29,XX,Causas externas de mortalidad,40,15954
2015,Hombre,Belice,30-34,I,Enfermedades infecciosas y parasitarias,12,13618
2015,Hombre,Belice,30-34,II,Tumores,0,13618
2015,Hombre,Belice,30-34,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,1,13618
2015,Hombre,Belice,30-34,IV,"Enfermedades endocrinas, nutricionales y metabólicas",0,13618
2015,Hombre,Belice,30-34,IX,Enfermedades del sistema circulatorio,2,13618
2015,Hombre,Belice,30-34,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",3,13618
2015,Hombre,Belice,30-34,X,Enfermedades del sistema respiratorio,2,13618
2015,Hombre,Belice,30-34,XI,Enfermedades del sistema digestivo,2,13618
2015,Hombre,Belice,30-34,XII,Enfermedades de la piel y del tejido subcutáneo,0,13618
2015,Hombre,Belice,30-34,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,13618
2015,Hombre,Belice,30-34,XIV,Enfermedades del sistema genitourinario,0,13618
2015,Hombre,Belice,30-34,XV,"Embarazo, parto y puerperio",0,13618
2015,Hombre,Belice,30-34,XVI,Afecciones originadas en el periodo perinatal,0,13618
2015,Hombre,Belice,30-34,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,13618
2015,Hombre,Belice,30-34,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",1,13618
2015,Hombre,Belice,30-34,XX,Causas externas de mortalidad,30,13618
2015,Hombre,Belice,35-39,I,Enfermedades infecciosas y parasitarias,14,11601
2015,Hombre,Belice,35-39,II,Tumores,3,11601
2015,Hombre,Belice,35-39,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,11601
2015,Hombre,Belice,35-39,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1,11601
2015,Hombre,Belice,35-39,IX,Enfermedades del sistema circulatorio,2,11601
2015,Hombre,Belice,35-39,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1,11601
2015,Hombre,Belice,35-39,X,Enfermedades del sistema respiratorio,2,11601
2015,Hombre,Belice,35-39,XI,Enfermedades del sistema digestivo,2,11601
2015,Hombre,Belice,35-39,XII,Enfermedades de la piel y del tejido subcutáneo,0,11601
2015,Hombre,Belice,35-39,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,11601
2015,Hombre,Belice,35-39,XIV,Enfermedades del sistema genitourinario,1,11601
2015,Hombre,Belice,35-39,XV,"Embarazo, parto y puerperio",0,11601
2015,Hombre,Belice,35-39,XVI,Afecciones originadas en el periodo perinatal,0,11601
2015,Hombre,Belice,35-39,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",1,11601
2015,Hombre,Belice,35-39,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",0,11601
2015,Hombre,Belice,35-39,XX,Causas externas de mortalidad,25,11601
2015,Hombre,Belice,40-44,I,Enfermedades infecciosas y parasitarias,15,10273
2015,Hombre,Belice,40-44,II,Tumores,3,10273
2015,Hombre,Belice,40-44,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,10273
2015,Hombre,Belice,40-44,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1,10273
2015,Hombre,Belice,40-44,IX,Enfermedades del sistema circulatorio,6,10273
2015,Hombre,Belice,40-44,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1,10273
2015,Hombre,Belice,40-44,X,Enfermedades del sistema respiratorio,2,10273
2015,Hombre,Belice,40-44,XI,Enfermedades del sistema digestivo,3,10273
2015,Hombre,Belice,40-44,XII,Enfermedades de la piel y del tejido subcutáneo,0,10273
2015,Hombre,Belice,40-44,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,10273
2015,Hombre,Belice,40-44,XIV,Enfermedades del sistema genitourinario,0,10273
2015,Hombre,Belice,40-44,XV,"Embarazo, parto y puerperio",0,10273
2015,Hombre,Belice,40-44,XVI,Afecciones originadas en el periodo perinatal,0,10273
2015,Hombre,Belice,40-44,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,10273
2015,Hombre,Belice,40-44,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",0,10273
2015,Hombre,Belice,40-44,XX,Causas externas de mortalidad,15,10273
2015,Hombre,Belice,45-49,I,Enfermedades infecciosas y parasitarias,12,8675
2015,Hombre,Belice,45-49,II,Tumores,3,8675
2015,Hombre,Belice,45-49,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,8675
2015,Hombre,Belice,45-49,IV,"Enfermedades endocrinas, nutricionales y metabólicas",5,8675
2015,Hombre,Belice,45-49,IX,Enfermedades del sistema circulatorio,9,8675
2015,Hombre,Belice,45-49,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1,8675
2015,Hombre,Belice,45-49,X,Enfermedades del sistema respiratorio,3,8675
2015,Hombre,Belice,45-49,XI,Enfermedades del sistema digestivo,10,8675
2015,Hombre,Belice,45-49,XII,Enfermedades de la piel y del tejido subcutáneo,0,8675
2015,Hombre,Belice,45-49,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1,8675
2015,Hombre,Belice,45-49,XIV,Enfermedades del sistema genitourinario,1,8675
2015,Hombre,Belice,45-49,XV,"Embarazo, parto y puerperio",0,8675
2015,Hombre,Belice,45-49,XVI,Afecciones originadas en el periodo perinatal,0,8675
2015,Hombre,Belice,45-49,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,8675
2015,Hombre,Belice,45-49,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",0,8675
2015,Hombre,Belice,45-49,XX,Causas externas de mortalidad,18,8675
2015,Hombre,Belice,5-9,I,Enfermedades infecciosas y parasitarias,1,19202
2015,Hombre,Belice,5-9,II,Tumores,1,19202
2015,Hombre,Belice,5-9,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,19202
2015,Hombre,Belice,5-9,IV,"Enfermedades endocrinas, nutricionales y metabólicas",0,19202
2015,Hombre,Belice,5-9,IX,Enfermedades del sistema circulatorio,0,19202
2015,Hombre,Belice,5-9,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",0,19202
2015,Hombre,Belice,5-9,X,Enfermedades del sistema respiratorio,1,19202
2015,Hombre,Belice,5-9,XI,Enfermedades del sistema digestivo,2,19202
2015,Hombre,Belice,5-9,XII,Enfermedades de la piel y del tejido subcutáneo,0,19202
2015,Hombre,Belice,5-9,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,19202
2015,Hombre,Belice,5-9,XIV,Enfermedades del sistema genitourinario,1,19202
2015,Hombre,Belice,5-9,XV,"Embarazo, parto y puerperio",0,19202
2015,Hombre,Belice,5-9,XVI,Afecciones originadas en el periodo perinatal,0,19202
2015,Hombre,Belice,5-9,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",1,19202
2015,Hombre,Belice,5-9,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",0,19202
2015,Hombre,Belice,5-9,XX,Causas externas de mortalidad,2,19202
2015,Hombre,Belice,50-54,I,Enfermedades infecciosas y parasitarias,9,7355
2015,Hombre,Belice,50-54,II,Tumores,10,7355
2015,Hombre,Belice,50-54,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,1,7355
2015,Hombre,Belice,50-54,IV,"Enfermedades endocrinas, nutricionales y metabólicas",6,7355
2015,Hombre,Belice,50-54,IX,Enfermedades del sistema circulatorio,8,7355
2015,Hombre,Belice,50-54,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",0,7355
2015,Hombre,Belice,50-54,X,Enfermedades del sistema respiratorio,7,7355
2015,Hombre,Belice,50-54,XI,Enfermedades del sistema digestivo,10,7355
2015,Hombre,Belice,50-54,XII,Enfermedades de la piel y del tejido subcutáneo,0,7355
2015,Hombre,Belice,50-54,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,7355
2015,Hombre,Belice,50-54,XIV,Enfermedades del sistema genitourinario,0,7355
2015,Hombre,Belice,50-54,XV,"Embarazo, parto y puerperio",0,7355
2015,Hombre,Belice,50-54,XVI,Afecciones originadas en el periodo perinatal,0,7355
2015,Hombre,Belice,50-54,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,7355
2015,Hombre,Belice,50-54,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",2,7355
2015,Hombre,Belice,50-54,XX,Causas externas de mortalidad,13,7355
2015,Hombre,Belice,55-59,I,Enfermedades infecciosas y parasitarias,6,5618
2015,Hombre,Belice,55-59,II,Tumores,18,5618
2015,Hombre,Belice,55-59,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,5618
2015,Hombre,Belice,55-59,IV,"Enfermedades endocrinas, nutricionales y metabólicas",12,5618
2015,Hombre,Belice,55-59,IX,Enfermedades del sistema circulatorio,19,5618
2015,Hombre,Belice,55-59,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",5,5618
2015,Hombre,Belice,55-59,X,Enfermedades del sistema respiratorio,9,5618
2015,Hombre,Belice,55-59,XI,Enfermedades del sistema digestivo,7,5618
2015,Hombre,Belice,55-59,XII,Enfermedades de la piel y del tejido subcutáneo,0,5618
2015,Hombre,Belice,55-59,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,5618
2015,Hombre,Belice,55-59,XIV,Enfermedades del sistema genitourinario,1,5618
2015,Hombre,Belice,55-59,XV,"Embarazo, parto y puerperio",0,5618
2015,Hombre,Belice,55-59,XVI,Afecciones originadas en el periodo perinatal,0,5618
2015,Hombre,Belice,55-59,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",1,5618
2015,Hombre,Belice,55-59,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",1,5618
2015,Hombre,Belice,55-59,XX,Causas externas de mortalidad,9,5618
2015,Hombre,Belice,60-64,I,Enfermedades infecciosas y parasitarias,8,4105
2015,Hombre,Belice,60-64,II,Tumores,16,4105
2015,Hombre,Belice,60-64,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,4105
2015,Hombre,Belice,60-64,IV,"Enfermedades endocrinas, nutricionales y metabólicas",15,4105
2015,Hombre,Belice,60-64,IX,Enfermedades del sistema circulatorio,17,4105
2015,Hombre,Belice,60-64,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1,4105
2015,Hombre,Belice,60-64,X,Enfermedades del sistema respiratorio,11,4105
2015,Hombre,Belice,60-64,XI,Enfermedades del sistema digestivo,9,4105
2015,Hombre,Belice,60-64,XII,Enfermedades de la piel y del tejido subcutáneo,0,4105
2015,Hombre,Belice,60-64,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,4105
2015,Hombre,Belice,60-64,XIV,Enfermedades del sistema genitourinario,1,4105
2015,Hombre,Belice,60-64,XV,"Embarazo, parto y puerperio",0,4105
2015,Hombre,Belice,60-64,XVI,Afecciones originadas en el periodo perinatal,0,4105
2015,Hombre,Belice,60-64,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,4105
2015,Hombre,Belice,60-64,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",0,4105
2015,Hombre,Belice,60-64,XX,Causas externas de mortalidad,16,4105
2015,Hombre,Belice,65-69,I,Enfermedades infecciosas y parasitarias,5,2817
2015,Hombre,Belice,65-69,II,Tumores,11,2817
2015,Hombre,Belice,65-69,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,2817
2015,Hombre,Belice,65-69,IV,"Enfermedades endocrinas, nutricionales y metabólicas",14,2817
2015,Hombre,Belice,65-69,IX,Enfermedades del sistema circulatorio,22,2817
2015,Hombre,Belice,65-69,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",0,2817
2015,Hombre,Belice,65-69,X,Enfermedades del sistema respiratorio,8,2817
2015,Hombre,Belice,65-69,XI,Enfermedades del sistema digestivo,3,2817
2015,Hombre,Belice,65-69,XII,Enfermedades de la piel y del tejido subcutáneo,0,2817
2015,Hombre,Belice,65-69,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,2817
2015,Hombre,Belice,65-69,XIV,Enfermedades del sistema genitourinario,1,2817
2015,Hombre,Belice,65-69,XV,"Embarazo, parto y puerperio",0,2817
2015,Hombre,Belice,65-69,XVI,Afecciones originadas en el periodo perinatal,0,2817
2015,Hombre,Belice,65-69,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,2817
2015,Hombre,Belice,65-69,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",0,2817
2015,Hombre,Belice,65-69,XX,Causas externas de mortalidad,9,2817
2015,Hombre,Belice,70-74,I,Enfermedades infecciosas y parasitarias,5,1889
2015,Hombre,Belice,70-74,II,Tumores,11,1889
2015,Hombre,Belice,70-74,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,1,1889
2015,Hombre,Belice,70-74,IV,"Enfermedades endocrinas, nutricionales y metabólicas",11,1889
2015,Hombre,Belice,70-74,IX,Enfermedades del sistema circulatorio,12,1889
2015,Hombre,Belice,70-74,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",3,1889
2015,Hombre,Belice,70-74,X,Enfermedades del sistema respiratorio,7,1889
2015,Hombre,Belice,70-74,XI,Enfermedades del sistema digestivo,3,1889
2015,Hombre,Belice,70-74,XII,Enfermedades de la piel y del tejido subcutáneo,0,1889
2015,Hombre,Belice,70-74,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,1889
2015,Hombre,Belice,70-74,XIV,Enfermedades del sistema genitourinario,2,1889
2015,Hombre,Belice,70-74,XV,"Embarazo, parto y puerperio",0,1889
2015,Hombre,Belice,70-74,XVI,Afecciones originadas en el periodo perinatal,0,1889
2015,Hombre,Belice,70-74,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,1889
2015,Hombre,Belice,70-74,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",2,1889
2015,Hombre,Belice,70-74,XX,Causas externas de mortalidad,2,1889
2015,Hombre,Belice,75-79,I,Enfermedades infecciosas y parasitarias,1,1339
2015,Hombre,Belice,75-79,II,Tumores,16,1339
2015,Hombre,Belice,75-79,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,1339
